zone,level,sections,section_count,where_it_is,typical_rows,entry_row
"Tier zone: ""Press Level"" / ""Middle Level Corner",200 Level (203-224),205,1,"""Middle level corner seating is located on the second tier up from the playing surface and behind home pate."" .",A-H,H
2026 Review,200 Level (203-224),210,1,"""Even-numbered sections: First base side (Rays side)"".",A-H,H
Middle Level Endzone,200 Level (203-224),211,1,"""Section 211 is located between entry gate 5 (at the southwest corner of the ballpark) and gate 6 (at the northwest corner)."" ""Middle level endzone seating is located on the 200 level running along the 3rd baseline... NOTE this page names a DIFFERENT grouping from the 203-209 corner run: the odd side of this tier splits into 203-209 (corner, ""closer to 3rd base"") and 211-223 (endzone, ""along the 3rd baseline""), so 211 begins the second odd run.""",A-H,H
"Football)"" and ""Press Level",200 Level (203-224),"213-223, 212",7,"""Middle level endzone seating is located on the 200 level running along the 3rd baseline."" ""Odd-numbered sections: Third base side"". ""Press Level seating at Tropicana Field is located in sections 203-224 on the 200 level, wrapping around the infield.""",A-H,H
given as the expert-review category,200 Level (203-224),220,1,"""Middle level seating is located in the 200 level of Tropicana field along the 1st base line."" (220 is EVEN; the page states the 1st base line placement but prints no odd/even rule of its own.",A-H,H
not named by the source,"300 Level and MaintenX SkyDeck (300-324, 341-355 odd)","301-323, 347-355, 300-324",30,"No prose locating this section in the ballpark. The only positional text on the page is the Section Insights label ""Midfield View"" (a multi-sport template label). Under the park-wide parity rule quoted in discovery, an EVEN 300-level number would fall on the first base / right field side, but THIS PAGE DOES NOT STATE IT.",11 different row ranges - see the section table,varies by section
"Zone: ""MaintenX SkyDeck","300 Level and MaintenX SkyDeck (300-324, 341-355 odd)",341,1,"""The MaintenX SkyDeck is located in sections 341-355 in left field on the upper level of Tropicana Field."" ""Sections 341-345: Down the left field line in foul territory."" ""Sections 347-355: Positioned beyond the outfield fence."" So this section is in the FOUL-TERRITORY part of the SkyDeck, down the left field line - consistent with the odd/third-base-and-left-field parity rule in discovery.","A-F, WCH",WCH
"zone content on the page is the ""MaintenX SkyDeck"" block","300 Level and MaintenX SkyDeck (300-324, 341-355 odd)",343,1,"""The MaintenX SkyDeck is located in sections 341-355 in left field on the upper level of Tropicana Field."" ""Sections 341-345: Down the left field line in foul territory."" ""Sections 347-355: Positioned beyond the outfield fence."" So this section is in the FOUL-TERRITORY part of the SkyDeck, down the left field line - consistent with the odd/third-base-and-left-field parity rule in discovery.",A-J,J
"Section 345 at Tropicana Field"" and ""MaintenX SkyDeck","300 Level and MaintenX SkyDeck (300-324, 341-355 odd)",345,1,"""The MaintenX SkyDeck is located in sections 341-355 in left field on the upper level of Tropicana Field."" ""Sections 341-345: Down the left field line in foul territory."" ""Sections 347-355: Positioned beyond the outfield fence."" So this section is in the FOUL-TERRITORY part of the SkyDeck, down the left field line - consistent with the odd/third-base-and-left-field parity rule in discovery.","A-F, WCH",WCH
Rays Club,The Baldwin Group Club (106C-126C even),106C-126C,11,"Baldwin Group Club seating is located in sections 106-126 along the first base line, just above the 100 Level seating."" / ""1st Base Club Seating: Sections 106-126 along the first base line",PP-UU,UU
