section,level,zone,location_in_stadium,side_of_ballpark,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
122,100 Field Level,Field Infield Box,"Lowest tier along the infield on the third-base side, directly in front of the visiting team dugout",third-base side,2,toward third base / left field,4-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 123; seat numbers count UP toward the edge facing section 121. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Behind the visitors dugout. Row 4 is the first row behind the dugout. Reviewers report strong sun.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
123,100 Field Level,Field Infield Box,"Lowest tier along the infield on the third-base side, directly in front of the visiting team dugout",third-base side,3,toward third base / left field,4-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 124; seat numbers count UP toward the edge facing section 122. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Behind the visitors dugout. Netting in front.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
124,100 Field Level,Field Infield Box,"Lowest tier along the infield on the third-base side, approaching third base",third-base side,4,toward third base / left field,1-27,27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 27.","Seat 1 is on the edge facing section 125; seat numbers count UP toward the edge facing section 123. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Often among the cheapest seats within the Infield Box zone.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
125,100 Field Level,Field Infield Box,"Lowest tier along the infield on the third-base side, approaching third base",third-base side,5,toward third base / left field,1-27,27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 27.","Seat 1 is on the edge facing section 126; seat numbers count UP toward the edge facing section 124. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Often among the cheapest seats within the Infield Box zone.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
126,100 Field Level,Field Outfield Box,Lowest tier in left-field foul territory between third base and the left-field foul pole; nearest third base,third-base line / left field,6,toward third base / left field,1-29,29,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 29.","Seat 1 is on the edge facing section 127; seat numbers count UP toward the edge facing section 125. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Left-field side gets more sun during day games. Front rows against the field wall. Behind netting per fan reports.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
127,100 Field Level,Field Outfield Box,Lowest tier in left-field foul territory between third base and the left-field foul pole; between third base and the foul pole,third-base line / left field,7,toward third base / left field,1-30,30,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 30.","Seat 1 is on the edge facing section 128; seat numbers count UP toward the edge facing section 126. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),More sun than the right-field side. Front rows sit against the outfield wall.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
128,100 Field Level,Field Outfield Box,Lowest tier in left-field foul territory between third base and the left-field foul pole; between third base and the foul pole,third-base line / left field,8,toward third base / left field,1-27,27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 27.","Seat 1 is on the edge facing section 129; seat numbers count UP toward the edge facing section 127. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),More sun than the right-field side. Angled view toward the infield.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
129,100 Field Level,Field Outfield Box,Lowest tier in left-field foul territory between third base and the left-field foul pole; between third base and the foul pole,third-base line / left field,9,toward third base / left field,3-27,27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 27.","Seat 1 is on the edge facing section 130; seat numbers count UP toward the edge facing section 128. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),More sun than the right-field side. Front rows sit against the outfield wall.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
130,100 Field Level,Field Outfield Box,Lowest tier in left-field foul territory between third base and the left-field foul pole; between third base and the foul pole,third-base line / left field,10,toward third base / left field,10-30,30,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 30.","Seat 1 is on the edge facing section 131; seat numbers count UP toward the edge facing section 129. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),More sun than the right-field side. Front rows sit against the outfield wall.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
131,100 Field Level,Field Outfield Box,Lowest tier in left-field foul territory between third base and the left-field foul pole; in the left-field corner at the foul pole; a very small section,third-base line / left field,11,toward third base / left field,20-26,26,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 26.","Seat 1 is on the far edge of the section (no higher-numbered section beyond it); seat numbers count UP toward the edge facing section 130. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",row 20 has only 4 seats,Very small section - row 20 has only 4 seats. Comfortable angle toward the infield.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
201,200 Loge Level,Loge Bleachers,"Second tier, right field, behind the right-field wall; deepest toward right-center. Bench seating with backrests, near the visiting bullpen",right field,15,toward first base / right field,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 14.","Seat 1 is on the edge facing section 202; seat numbers count UP toward the far edge of the section (no lower-numbered section beyond it). Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"Bench seating with backrest, extra leg room. Partial scoreboard view; one review reports seeing only half the scoreboard.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
202,200 Loge Level,Loge Bleachers,"Second tier, right field, behind the right-field wall; in the right-field bleacher bank. Bench seating with backrests, near the visiting bullpen",right field,14,toward first base / right field,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 14.","Seat 1 is on the edge facing section 203; seat numbers count UP toward the edge facing section 201. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"Bench seating. Several seats have an obstructed scoreboard view, especially deeper rows.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
203,200 Loge Level,Loge Bleachers,"Second tier, right field, behind the right-field wall; in the right-field bleacher bank. Bench seating with backrests, near the visiting bullpen",right field,13,toward first base / right field,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 14.","Seat 1 is on the edge facing section 204; seat numbers count UP toward the edge facing section 202. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Scoreboard visible at an angle. Bench seating with backrest.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
204,200 Loge Level,Loge Bleachers,"Second tier, right field, behind the right-field wall; in the right-field bleacher bank. Bench seating with backrests, near the visiting bullpen",right field,12,toward first base / right field,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 14.","Seat 1 is on the edge facing section 205; seat numbers count UP toward the edge facing section 203. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Parts of the outfield are out of view due to angle and height. Scoreboard at an angle.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
205,200 Loge Level,Loge Bleachers,"Second tier, right field, behind the right-field wall; nearest the right-field foul pole. Bench seating with backrests, near the visiting bullpen",right field,11,toward first base / right field,1-16,16,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 16.","Seat 1 is on the edge facing section 206; seat numbers count UP toward the edge facing section 204. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Bench seating. One fan notes seat 1 is closest to the wall rather than the aisle here. Complaints about food-stand exhaust.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
206,200 Loge Level,Loge Outfield Box,Second tier down the right-field line between the outfield corner and first base,right field / first-base line,10,toward first base / right field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 207; seat numbers count UP toward the edge facing section 205. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Right-field side sections often hold shade longer. Good foul-ball territory.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
207,200 Loge Level,Loge Outfield Box,Second tier down the right-field line between the outfield corner and first base,right field / first-base line,9,toward first base / right field,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 208; seat numbers count UP toward the edge facing section 206. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Rows 17-21 recommended for convenience.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
208,200 Loge Level,Loge Outfield Box,Second tier down the right-field line between the outfield corner and first base,right field / first-base line,8,toward first base / right field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 209; seat numbers count UP toward the edge facing section 207. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",row 9 has 20 seats,Row 9 reported at 20 seats. Solid foul-ball area.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
209,200 Loge Level,Loge Outfield Box,Second tier down the right-field line between the outfield corner and first base,right field / first-base line,7,toward first base / right field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 210; seat numbers count UP toward the edge facing section 208. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Right-field side holds shade better than left field.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
210,200 Loge Level,Loge Infield Box,Second tier along the infield on the first-base side,first-base side,6,toward first base / right field,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 211; seat numbers count UP toward the edge facing section 209. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),A reviewer reports being in shade after about one inning.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
