zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Upper Box Midfield,Upper Box (300s),"305-307, 328-329",5,Upper Box seats at Wrigley Field are all 300-numbered sections. These seats are at the front of the upper deck and provide outstanding elevated views.,1-10,varies by section
Upper Box Infield,Upper Box (300s),"308-314, 319, 321",9,"Sitting in sections 308-314 and 319-327 is comparable to sitting on the club level at most other ballparks.""; Upper Box seats are ""at the front of the upper deck"" and provide ""outstanding elevated views",2 different row ranges - see the section table,varies by section
Catalina Club,Upper Box (300s),315-318,4,Sections 315-318 directly behind and elevated above home plate,2 different row ranges - see the section table,varies by section
Upper Boxes,Upper Box (300s),"320, 322-324, 326-327",6,Upper Box seats at Wrigley Field are all 300-numbered sections. These seats are at the front of the upper deck and provide outstanding elevated views.,1-10,varies by section
Upper Reserved,Upper Reserved (400s),"403-406, 409-415, 419-431",24,"""The Upper Reserved Infield is sections 409-426. Like the name suggests, seats here will have elevated views over the infield."" Part of ""the Upper Reserved sections which includes all 400 sections labeled 403-431"", the highest seating tier at Wrigley Field.",2 different row ranges - see the section table,varies by section
Upper Reserved Outfield,Upper Reserved (400s),407-408,2,"Upper Reserved Outfield grouping, described as less desirable than Upper Reserved Infield sections; site's Upper Reserved wording states 'seats here will have elevated views over the infield'",1-9,1
Bleachers,Budweiser Bleachers (500s),"501, 511, 537",3,not stated by the source,3 different row ranges - see the section table,UNKNOWN
Budweiser Bleachers,Budweiser Bleachers (500s),502,1,not stated by the source,7-14 (rateyourseats.com),UNKNOWN
aviewfrommyseat.com,Budweiser Bleachers (500s),"503-504, 506-507, 512, 514-515, 536, 538",9,not stated by the source,6 different row ranges - see the section table,UNKNOWN
Bleachers / Budweiser Bleachers,Budweiser Bleachers (500s),"505, 513",2,not stated by the source,1-21 (rateyourseats.com),UNKNOWN
not named by the source,Budweiser Bleachers (500s),516-518,3,"""Right Field Location: The Right Field Patio is located beneath the videoboard near the bleachers at Wrigley Field."" (rateyourseats.com Budweiser Patio page, which its section 516 URL resolves to). aviewfrommyseat.com tags section 516 as part of the outfield.",2 different row ranges - see the section table,UNKNOWN
Bleachers,"Clubs, suites and other named areas",Bleachers,1,The Bleachers are located directly behind the ivy-covered outfield wall at Wrigley Field.,UNKNOWN,UNKNOWN
Budweiser Patio,"Clubs, suites and other named areas",Budweiser Patio,1,The Right Field Patio is located beneath the videoboard near the bleachers at Wrigley Field.,UNKNOWN,UNKNOWN
Clubs and suites,"Clubs, suites and other named areas",eero Club,1,"The Executive Club is located on the suite level down the third base line."" ""Positioned between the lower and upper seating bowls, offering elevated views of the field.",UNKNOWN,UNKNOWN
Field seats,"Clubs, suites and other named areas","Field A, Field AA, Field AB, Field B, Field C, Field D, Field E, Field F, Field G, Field H, Field J, Field K, Field L, Field M, Field N, Field P, Field Q, Field R, Field S, Field T, Field U, Field V, Field W, Field X, Field Y, Field Z",26,"Field seats are located directly on the playing surface at Wrigley Field for concerts."" ""Foldable chairs are placed on the field with no elevation between rows.",UNKNOWN,UNKNOWN
Standing room,"Clubs, suites and other named areas",Standing Room Only,1,"Standing Room Only areas are located behind the 200-level sections along the walkways at Wrigley Field."" Ticketholders ""will be permitted to stand on the walkway behind the Terrace seats.",UNKNOWN,UNKNOWN
