section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
13,Club Box Level (3-32),1914 Club,Directly behind home plate (1914 Club); positioned between the Cubs and visitor dugouts,0,behind home plate,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 12, with seat numbers counting up toward the edge facing section 14. This section is behind home plate, so seat 1 is on its third-base side.",not published,"'There is some amount of netting or screening in front of sections 9-27. The height and coverage of netting or screening will vary by section.' 'Rows 7 and above are shaded during most late afternoon games'. Cubs dugout on third base side; visiting team dugout on first base side, with sections 20-22 near the visitor on-deck circle. 1914 Club features 'Padded seats with access to a private, climate-controlled club'; all-inclusive food and beverages for Cubs games. Seats per row, bench details, wheelchair rows and support posts not stated. rateyourseats.com section 13 page.","HIGH - zone, rows, location and seat direction stated by the source"
14,Club Box Level (3-32),1914 Club,Located just on the home plate side of the Cubs dugout; 1914 Club rows are 'directly behind home plate in sections 13-22 at field level',0,behind home plate,"A-D, followed by rows 1-10)",14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 13, with seat numbers counting up toward the edge facing section 15. This section is behind home plate, so seat 1 is on its third-base side.",not published,"'There is some amount of netting or screening in front of sections 9-27. The height and coverage of netting or screening will vary by section.' 'Rows 7 and above are shaded during most late afternoon games'. Sits near the Cubs dugout and on-deck circle, offering proximity to player activity. Wheelchair/accessible rows, bench-vs-individual seating, seats per row and support posts not stated. rateyourseats.com section 14 page.","HIGH - zone, rows, location and seat direction stated by the source"
15,Club Box Level (3-32),1914 Club,Directly behind home plate for rows 1-7; rows 8+ are part of the general Club Box seating spanning sections 3-32,0,behind home plate,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 14, with seat numbers counting up toward the edge facing section 16. This section is behind home plate, so seat 1 is on its third-base side.",not published,"'There is some amount of netting or screening in front of sections 9-27. The height and coverage of netting or screening will vary by section.' Protective netting present but 'does not significantly obstruct the view'. 'Rows 7 and above are shaded during most late afternoon games'. Rows 1-7 feature 'Padded seats with access to a private, climate-controlled club' with all-inclusive food, beverages and premium spirits for Cubs games. Rows 1-7 positioned 'between the Cubs and visitor dugouts'. Seats per row, bench details and wheelchair rows not stated. rateyourseats.com section 15 page.","HIGH - zone, rows, location and seat direction stated by the source"
16,Club Box Level (3-32),1914 Club,Directly behind home plate (1914 Club),0,behind home plate,1-14,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 15, with seat numbers counting up toward the edge facing section 18. This section is behind home plate, so seat 1 is on its third-base side.",not published,"'There is some amount of netting or screening in front of sections 9-27. The height and coverage of netting or screening will vary by section.' Protective netting present but does not significantly obstruct views. 'Rows 7 and above are shaded during most late afternoon games'; rows 1-7 experience afternoon shade in select rows. 'Positioned between the Cubs and visitor dugouts'. 'Padded seats' in the 1914 Club (Rows 1-7). Wheelchair/accessible rows, seats per row and support posts not stated. rateyourseats.com section 16 page.","HIGH - zone, rows, location and seat direction stated by the source"
18,Club Box Level (3-32),1914 Club,Directly behind home plate in sections 13-22 at field level (1914 Club rows 1-7); Club Box runs sections 3 through 32 with sections 13-22 designated Club Box Home Plate,0,behind home plate,1-15,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 16, with seat numbers counting up toward the edge facing section 19. This section is behind home plate, so seat 1 is on its third-base side.",not published,"'There is some amount of netting or screening in front of sections 9-27. The height and coverage of netting or screening will vary by section.' Protective netting present in rows 1-7 but 'does not significantly obstruct the view.' 'Rows 7 and above are shaded during most late afternoon games'. 'Positioned between the Cubs and visitor dugouts'. 'Padded seats' (1914 Club, rows 1-7). Wheelchair/accessible rows, seats per row and support posts not stated. rateyourseats.com section 18 page.","HIGH - zone, rows, location and seat direction stated by the source"
19,Club Box Level (3-32),1914 Club,Directly behind home plate at Wrigley Field (1914 Club); rows 8-14 are Club Box seats behind the 1914 Club section,0,behind home plate,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 18, with seat numbers counting up toward the edge facing section 20. This section is behind home plate, so seat 1 is on its third-base side.",not published,"Protective netting present in the 1914 Club area but 'does not significantly obstruct the view'. 'desirable view from behind home plate'; 'Head-on view of the performance for end-stage concerts'. an August 2024 review noted 'sat in the shade the entire time'. 1914 Club rows 1-7 positioned between the Cubs and visitor dugouts. Wheelchair/accessible rows, seat type, seats per row and support posts not stated. rateyourseats.com section 19 page.","HIGH - zone, rows, location and seat direction stated by the source"
20,Club Box Level (3-32),1914 Club,Located directly behind home plate (1914 Club); between the Cubs and visitor dugouts in the lower bowl (100-level),0,behind home plate,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 19, with seat numbers counting up toward the edge facing section 21. This section is behind home plate, so seat 1 is on its third-base side.",not published,"'There is some amount of netting or screening in front of sections 9-27' with variable height and coverage by section; protective netting present but 'does not significantly obstruct the view.' Positioned between dugouts and near the visitor on-deck circle (sections 20-22). Padded seats in 1914 Club; traditional stadium seats in Club Boxes. Wheelchair/accessible rows, seats per row and support posts not stated. rateyourseats.com section 20 page.","HIGH - zone, rows, location and seat direction stated by the source"
21,Club Box Level (3-32),1914 Club,Directly behind home plate as part of the 1914 Club area in sections 13-22 at field level,0,behind home plate,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 20, with seat numbers counting up toward the edge facing section 22. This section is behind home plate, so seat 1 is on its third-base side.",not published,"'There is some amount of netting or screening in front of sections 9-27. The height and coverage of netting or screening will vary by section.' Section 21 falls within this range. 'Positioned between the Cubs and visitor dugouts'. 'Padded seats' mentioned for 1914 Club seating. Sun/shade specific to Section 21, wheelchair/accessible rows, seats per row and support posts not stated. rateyourseats.com section 21 page.","HIGH - zone, rows, location and seat direction stated by the source"
22,Club Box Level (3-32),1914 Club,Directly behind home plate and 'closest to the Visiting Team's dugout'; positioned 'between the Cubs and visitor dugouts' with 'short rows and close proximity to the field',0,behind home plate,1-14 (page also states rows closest to the playing field are lettered A-G),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 21, with seat numbers counting up toward the edge facing section 23. This section is behind home plate, so seat 1 is on its third-base side.",not published,"'Protective netting is present in this area, but it does not significantly obstruct the view.' and 'There is some amount of netting or screening in front of sections 9-27.' 'Closest to the Visiting Team's dugout' with 'great views of the visiting players on the on deck circle'. 1914 Club features 'Padded seats'; Club Boxes described as 'Traditional stadium seats'. Sun/shade specific to Section 22, wheelchair/accessible rows, seats per row and support posts not stated. rateyourseats.com section 22 page.","HIGH - zone, rows, location and seat direction stated by the source"
23,Club Box Level (3-32),Club Box Infield,Located behind dugouts (specifically the visiting team dugout for baseball),1,toward first base / right field,5-15,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 22, with seat numbers counting up toward the edge facing section 24. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"Row 1 is behind protective netting; 'There is some amount of netting or screening in front of sections 9-27. The height and coverage of netting or screening will vary by section.' limited shade during day games; part of general Club Box sun exposure issue. Behind the visitor's dugout; rows 1-5 recommended for visiting team fans. Seat type described as traditional stadium seats (implied for Club Boxes). Wheelchair/accessible rows, seats per row and support posts not stated. rateyourseats.com section 23 page.","HIGH - zone, rows, location and seat direction stated by the source"
24,Club Box Level (3-32),Club Box Infield,Located behind dugouts (specifically behind the visitor dugout for baseball games),2,toward first base / right field,5-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 23, with seat numbers counting up toward the edge facing section 25. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"'Row 1 is the first row behind the visitor dugout' and will be 'located behind protective netting'; 'There is some amount of netting or screening in front of sections 9-27.' limited shade during day games - 'One of the biggest trade-offs in being so close to the field is that you will rarely see shade during sunny day games.' Positioned 'behind the visitor dugout' for baseball. Individual seats (traditional stadium seating). Wheelchair/accessible rows, seats per row and support posts not stated. rateyourseats.com section 24 page.","HIGH - zone, rows, location and seat direction stated by the source"
25,Club Box Level (3-32),Club Box Infield,Located behind dugouts; for baseball games these seats are located behind the visitor dugout,3,toward first base / right field,5-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 24, with seat numbers counting up toward the edge facing section 26. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""There is some amount of netting or screening in front of sections 9-27. The height and coverage of netting or screening will vary by section."" Row 1 is the first row behind the visitor dugout and will be located behind protective netting. limited shade during day games; be prepared for a good amount of sun in any Club Box location for a day game. behind the visiting team's dugout. Obstructed views/support posts, wheelchair rows, bench vs individual seats","HIGH - zone, rows, location and seat direction stated by the source"
26,Club Box Level (3-32),Club Box Infield,Located behind dugouts; behind the visitor dugout for baseball games,4,toward first base / right field,5-15,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 25, with seat numbers counting up toward the edge facing section 27. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""There is some amount of netting or screening in front of sections 9-27. The height and coverage of netting or screening will vary by section."" limited shade during day games; ""it is best to be prepared for a good amount of sun when sitting in any of the Club Boxes locations for a day game."" behind visitor dugout. Seat type described as traditional stadium seats for Club Boxes.","HIGH - zone, rows, location and seat direction stated by the source"
27,Club Box Level (3-32),Club Box Infield,"Located behind dugouts (Club Box Infield); Maker's Mark Barrel Room rows are ""just behind first base""",5,toward first base / right field,1-14,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 26, with seat numbers counting up toward the edge facing section 28. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""There is some amount of netting or screening in front of sections 9-27. The height and coverage of netting or screening will vary by section."" ""Limited shade during day games, especially on the first base side."" ""Sections are also located right off the visiting team's dugout."" Rows 1-7 are the Maker's Mark Barrel Room premium club with padded seating; ""The club lounge is located down a tunnel near the seats"" (no entrance row stated).","HIGH - zone, rows, location and seat direction stated by the source"
28,Club Box Level (3-32),Club Box Outfield,"Seated behind W Club and Maker's Mark Barrel Room""; rows 1-7 are ""just behind first base",6,toward first base / right field,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 27, with seat numbers counting up toward the edge facing section 29. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""speakers and equipment are set up on the back of the floor creating slight obstructions in these seats."" ""Limited shade during day games, especially on the first base side."" sections 28-29 are ""located right off the visiting team's dugout."" Maker's Mark Barrel Room rows have padded seating; Club Box seat type not specified. Netting, support posts, wheelchair rows","HIGH - zone, rows, location and seat direction stated by the source"
29,Club Box Level (3-32),Club Box Outfield,"Maker's Mark Barrel Room seats are ""just behind first base in short right field""",7,toward first base / right field,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 28, with seat numbers counting up toward the edge facing section 30. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"concert setup may create obstructions; ""If you find yourself in a seat that is obstructed, kindly inform an usher."" limited shade during day games. located ""right off the visiting team's dugout""; sections 27-29 sit near the visiting team tunnel. Padded seating in the Maker's Mark Barrel Room rows; traditional stadium seats in the Club Boxes. Rows 1-7 include all-inclusive food and drink and speakeasy lounge access. Netting, support posts, wheelchair rows","HIGH - zone, rows, location and seat direction stated by the source"
30,Club Box Level (3-32),Club Box Outfield,"Seated behind W Club and Maker's Mark Barrel Room""; Bullpen Box is the ""Front rows of Sections 6-7 and 30-31",8,toward first base / right field,1-14,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 29, with seat numbers counting up toward the edge facing section 31. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"limited shade during day games; sun exposure is a consideration for Club Box sections generally. Noted by fan feedback as a good location to catch a foul ball. Netting, support-post obstruction, dugout adjacency, wheelchair rows, bench vs individual seats","HIGH - zone, rows, location and seat direction stated by the source"
31,Club Box Level (3-32),Club Box Outfield,"Seated behind W Club and Maker's Mark Barrel Room""; Bullpen Box is the ""Front rows of Sections 6-7 and 30-31",9,toward first base / right field,4-15,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 30, with seat numbers counting up toward the edge facing section 32. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"limited shade during day games; ""best to be prepared for a good amount of sun."" ""Traditional stadium seats."" Netting, support-post obstruction, dugout adjacency, wheelchair rows","HIGH - zone, rows, location and seat direction stated by the source"
32,Club Box Level (3-32),Club Box Outfield,Seated behind W Club and Maker's Mark Barrel Room,10,toward first base / right field,8-15,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 31, with seat numbers counting up toward the far edge of the section, with no further section beyond it on that side. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"limited shade during day games; sun exposure noted as a consideration for this section. ""Traditional stadium seats."" Not adjacent to a dugout; the visiting team dugout is at sections 23-26. Listed in fan feedback among the ""Best Place to Catch a Foul Ball."" Netting, support-post obstruction, wheelchair rows","HIGH - zone, rows, location and seat direction stated by the source"
101,Field Box Level (100s),Field Box Outfield,"Outfield area of the lower level; for concerts ""Behind/Side Stage (most shows)""",11,toward third base / left field,7-13,13,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 13.","Facing the field, seat 1 is on your left. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 102. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"for concerts ""you will be looking through the protective netting that is in place for baseball games."" View may be limited for concerts due to stage positioning. Sun/shade, support posts, dugout adjacency, wheelchair rows, bench vs individual seats","HIGH - zone, rows, location and seat direction stated by the source"
102,Field Box Level (100s),Field Box,"Lower-level middle seating between Club Box and Terrace seats; for concerts ""Behind/Side Stage (most shows)""",10,toward third base / left field,"1-13, 14-15",15,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 15.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 101, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""102 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view."" ""you will be looking through the protective netting that is in place for baseball games."" ""All seats in this section are shaded during most late afternoon games."" ""Wheelchair seating is available behind Row 13."" Support posts, dugout adjacency, bench vs individual seats","HIGH - zone, rows, location and seat direction stated by the source"
103,Field Box Level (100s),Field Box Outfield,Lower-level middle seating between Club Box and Terrace seats,9,toward third base / left field,"1-13, 14-15",Entrances to this section are located at Rows 1 and 15,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Entrances to this section are located at Rows 1 and 15.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the edge facing section 104. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""All seats in this section are shaded during most late afternoon games."" for concerts you will be ""looking through the protective netting that is in place for baseball games."" ""Wheelchair seating is available behind Row 13."" Support posts, dugout adjacency, bench vs individual seats","HIGH - zone, rows, location and seat direction stated by the source"
104,Field Box Level (100s),Field Box,"Field Box sections (100-level) sit between Club Box and Terrace Box seats""; ""slight elevation with all seats within ~30 rows of the field",8,toward third base / left field,"1-13, 14-15",Entrances to this section are located at Rows 1 and 15 (entry tunnels at both the top and bottom of sections),"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Entrances to this section are located at Rows 1 and 15 (entry tunnels at both the top and bottom of sections).","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the edge facing section 105. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 10 and above are shaded during most day games""; afternoon shade in select rows. for concerts ""you will be looking through the protective netting that is in place for baseball games."" ""Wheelchair seating is available behind Row 13."" Support posts, dugout adjacency, bench vs individual seats","HIGH - zone, rows, location and seat direction stated by the source"
